StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,B1_Q1,B1_Q2,B1_Q3,B1_Q4,B1_Q5,B1_Q6,B1_Q7,B1_Q8,B2_Q1,B2_Q2,B2_Q3,B2_Q4,B2_Q5,B2_Q6,B2_Q7,B2_Q8,B3_Q1,B3_Q2,B3_Q3,B3_Q4,B3_Q5,B3_Q6,B3_Q7,B3_Q8,age,gender,budget,diet,Q31_1,Q31_2,Q31_3,Random ID,Create New Field or Choose From Dropdown...
2023-05-03 14:21:20,2023-05-03 14:23:21,IP Address,37.168.120.102,100,120,True,2023-05-03 14:23:21,R_3rOMYbM9jsr6lau,,,,,48.8582,2.3387,anonymous,EN,,,,,,,,,,,,,,,,,Cooking,Cooking,Restaurant,Delivery,Restaurant,Cooking,Delivery,Cooking,22,Female,1000-1500 CHF,,Usually (5+ times/week on average),Never,Infrequently (a few times a month or less),3,
2023-05-03 15:20:08,2023-05-03 15:23:35,IP Address,93.23.251.79,100,207,True,2023-05-03 15:23:36,R_3fHshY54DAEFxhC,,,,,48.8582,2.3387,anonymous,EN,,,,,,,,,,,,,,,,,Cooking,Restaurant,Restaurant,Cooking,Cooking,Cooking,Cooking,Cooking,22,Male,< 1000 CHF,Vegetarian,Usually (5+ times/week on average),Never,Infrequently (a few times a month or less),3,
2023-05-03 16:41:09,2023-05-03 16:46:27,IP Address,90.26.15.51,100,317,True,2023-05-03 16:46:28,R_AvP2vwYrmYMPNjX,,,,,48.8033,2.2679,anonymous,EN,,,,,,,,,,,,,,,,,Cooking,Cooking,Restaurant,Delivery,Restaurant,Cooking,Cooking,Cooking,24,Male,< 1000 CHF,Vegetarian,Usually (5+ times/week on average),Infrequently (a few times a month or less),Sometimes (1-4 times a week),3,
2023-05-03 16:49:28,2023-05-03 16:52:14,IP Address,213.204.117.150,100,165,True,2023-05-03 16:52:15,R_YWkIsNh9VAipX8d,,,,,33.8333,35.8333,anonymous,EN,Cooking,Delivery,Restaurant,Restaurant,Cooking,Delivery,Cooking,Restaurant,,,,,,,,,,,,,,,,,23,Male,1000-1500 CHF,,Usually (5+ times/week on average),Sometimes (1-4 times a week),Sometimes (1-4 times a week),1,
2023-05-03 16:40:08,2023-05-03 17:07:05,IP Address,92.184.107.57,100,1616,True,2023-05-03 17:07:06,R_1GUhJAdbzHNbYR3,,,,,48.8582,2.3387,anonymous,EN,,,,,,,,,Cooking,Restaurant,Cooking,Restaurant,Cooking,Restaurant,Cooking,Cooking,,,,,,,,,23,Female,1000-1500 CHF,Vegetarian,Usually (5+ times/week on average),Infrequently (a few times a month or less),Sometimes (1-4 times a week),2,
2023-05-03 17:06:14,2023-05-03 17:09:17,IP Address,37.168.199.149,100,182,True,2023-05-03 17:09:18,R_2fcy2IM4tz6Y9e5,,,,,48.8582,2.3387,anonymous,EN,,,,,,,,,,,,,,,,,Cooking,Restaurant,Restaurant,Cooking,Restaurant,Cooking,Restaurant,Cooking,23,Female,1000-1500 CHF,Vegetarian,Usually (5+ times/week on average),Never,Sometimes (1-4 times a week),3,
2023-05-03 18:49:06,2023-05-03 18:51:17,IP Address,31.32.8.148,100,131,True,2023-05-03 18:51:18,R_wS1vZPXGkJXWVyx,,,,,48.8958,2.4064,anonymous,EN,,,,,,,,,,,,,,,,,Restaurant,Restaurant,Restaurant,Cooking,Restaurant,Cooking,Restaurant,Cooking,23,Male,< 1000 CHF,,Usually (5+ times/week on average),Sometimes (1-4 times a week),Sometimes (1-4 times a week),3,
2023-05-03 19:33:07,2023-05-03 19:34:48,IP Address,174.203.105.46,100,101,True,2023-05-03 19:34:49,R_Bs8Eeba00yyvslj,,,,,40.4339,-79.9996,anonymous,EN,Restaurant,Restaurant,Restaurant,Restaurant,Restaurant,Restaurant,Restaurant,Restaurant,,,,,,,,,,,,,,,,,23,Male,1000-1500 CHF,,Infrequently (a few times a month or less),Infrequently (a few times a month or less),Sometimes (1-4 times a week),1,
2023-05-03 21:21:31,2023-05-03 21:24:51,IP Address,37.167.186.70,100,199,True,2023-05-03 21:24:52,R_Ub6iyUnhoPGa5Ff,,,,,48.8582,2.3387,anonymous,EN,,,,,,,,,Cooking,Restaurant,Cooking,Restaurant,Cooking,Cooking,Cooking,Restaurant,,,,,,,,,23,Female,2000-2500 CHF,,Sometimes (1-4 times a week),Never,Usually (5+ times/week on average),2,
2023-05-04 08:06:58,2023-05-04 08:09:08,IP Address,77.136.66.253,100,130,True,2023-05-04 08:09:09,R_qUyeaOZxrHHfM6R,,,,,48.8323,2.4075,anonymous,EN,Cooking,Cooking,Cooking,Cooking,Cooking,Cooking,Restaurant,Restaurant,,,,,,,,,,,,,,,,,23,Male,1000-1500 CHF,,Usually (5+ times/week on average),Never,Sometimes (1-4 times a week),1,
2023-05-04 16:18:35,2023-05-04 16:22:50,IP Address,37.169.51.149,100,254,True,2023-05-04 16:22:51,R_2AFnvNVRyFQiODr,,,,,48.8582,2.3387,anonymous,EN,,,,,,,,,Cooking,Restaurant,Cooking,Cooking,Cooking,Restaurant,Restaurant,Restaurant,,,,,,,,,23,Male,1000-1500 CHF,,Usually (5+ times/week on average),Infrequently (a few times a month or less),Sometimes (1-4 times a week),2,
2023-05-04 16:28:45,2023-05-04 16:37:31,IP Address,92.184.110.216,100,526,True,2023-05-04 16:37:33,R_sTkplsEcDfcNiSd,,,,,48.8582,2.3387,anonymous,EN,Cooking,Delivery,Cooking,Restaurant,Cooking,Cooking,Cooking,Restaurant,,,,,,,,,,,,,,,,,23,Male,1000-1500 CHF,,Usually (5+ times/week on average),Never,Usually (5+ times/week on average),1,
2023-05-04 16:43:01,2023-05-04 16:48:16,IP Address,93.22.134.69,100,315,True,2023-05-04 16:48:17,R_3MGcTUVA0CzTzQO,,,,,48.8323,2.4075,anonymous,EN,Cooking,Delivery,Cooking,Restaurant,Delivery,Cooking,Delivery,Restaurant,,,,,,,,,,,,,,,,,23,Male,1500-2000 CHF,Vegetarian,Sometimes (1-4 times a week),Infrequently (a few times a month or less),Sometimes (1-4 times a week),1,
2023-05-04 16:56:15,2023-05-04 16:59:23,IP Address,92.184.97.146,100,188,True,2023-05-04 16:59:24,R_2THMDVMIDIN4jpF,,,,,48.8323,2.4075,anonymous,EN,,,,,,,,,,,,,,,,,Delivery,Restaurant,Restaurant,Restaurant,Restaurant,Delivery,Delivery,Restaurant,24,Male,< 1000 CHF,Low calorie diet,Sometimes (1-4 times a week),Never,Sometimes (1-4 times a week),3,
2023-05-04 18:22:09,2023-05-04 18:25:47,IP Address,172.58.89.0,100,218,True,2023-05-04 18:25:49,R_1NDLGfr7oqvBfJT,,,,,37.7771,-122.406,anonymous,EN,,,,,,,,,Restaurant,Restaurant,Cooking,Delivery,Cooking,Cooking,Cooking,Restaurant,,,,,,,,,25,Male,2000-2500 CHF,,Usually (5+ times/week on average),Never,Sometimes (1-4 times a week),2,
2023-05-04 19:24:29,2023-05-04 19:27:57,IP Address,209.2.225.196,100,207,True,2023-05-04 19:27:58,R_BqSY1CKuTtyyVe9,,,,,40.7597,-73.981,anonymous,EN,Cooking,Restaurant,Cooking,Restaurant,Delivery,Delivery,Delivery,Restaurant,,,,,,,,,,,,,,,,,22,Female,> 3000 CHF,Vegetarian,Sometimes (1-4 times a week),Never,Sometimes (1-4 times a week),1,
2023-05-04 21:11:49,2023-05-04 21:16:48,IP Address,185.147.10.47,100,299,True,2023-05-04 21:16:49,R_3hu2BhAkqFHPFei,,,,,47.3857,8.5348,anonymous,EN,Cooking,Restaurant,Cooking,Cooking,Cooking,Cooking,Cooking,Restaurant,,,,,,,,,,,,,,,,,22,Female,< 1000 CHF,Vegan,Sometimes (1-4 times a week),Never,Sometimes (1-4 times a week),1,
2023-05-04 21:13:22,2023-05-04 21:18:12,IP Address,85.195.199.190,100,289,True,2023-05-04 21:18:13,R_291jSEwv9kF0zjg,,,,,47.5702,7.6187,anonymous,EN,Restaurant,Restaurant,Cooking,Restaurant,Delivery,Delivery,Restaurant,Restaurant,,,,,,,,,,,,,,,,,21,Female,1000-1500 CHF,,Sometimes (1-4 times a week),Sometimes (1-4 times a week),Usually (5+ times/week on average),1,
2023-05-04 21:15:19,2023-05-04 21:18:45,IP Address,185.193.224.8,100,205,True,2023-05-04 21:18:45,R_1k0M5ab4H7OnDuM,,,,,47.337,8.5675,anonymous,EN,Cooking,Restaurant,Cooking,Restaurant,Cooking,Cooking,Cooking,Restaurant,,,,,,,,,,,,,,,,,22,Male,1500-2000 CHF,Vegan,Sometimes (1-4 times a week),Never,Infrequently (a few times a month or less),1,
2023-05-04 21:33:39,2023-05-04 21:36:46,IP Address,46.128.104.44,100,186,True,2023-05-04 21:36:47,R_28AkivkxZsp8gyH,,,,,48.2888,8.7246,anonymous,EN,Cooking,Cooking,Cooking,Cooking,Cooking,Cooking,Delivery,Restaurant,,,,,,,,,,,,,,,,,23,Female,< 1000 CHF,Vegetarian,Usually (5+ times/week on average),Never,Infrequently (a few times a month or less),1,
2023-05-04 22:37:06,2023-05-04 22:43:09,IP Address,188.63.242.19,100,362,True,2023-05-04 22:43:09,R_p0LVd3gfRgj0t4B,,,,,47.4617,8.5868,anonymous,EN,Cooking,Cooking,Cooking,Restaurant,Cooking,Cooking,Cooking,Restaurant,,,,,,,,,,,,,,,,,20,Female,1000-1500 CHF,,Usually (5+ times/week on average),Never,Sometimes (1-4 times a week),1,
2023-05-04 23:14:01,2023-05-04 23:15:59,IP Address,95.80.39.191,100,118,True,2023-05-04 23:16:00,R_3nIaNjpdm2pmitw,,,,,57.7065,11.967,anonymous,EN,,,,,,,,,,,,,,,,,Cooking,Restaurant,Restaurant,Restaurant,Restaurant,Delivery,Delivery,Cooking,24,Male,1000-1500 CHF,Vegetarian,Usually (5+ times/week on average),Infrequently (a few times a month or less),Infrequently (a few times a month or less),3,
2023-05-04 23:46:57,2023-05-04 23:53:29,IP Address,213.55.224.178,100,391,True,2023-05-04 23:53:29,R_2agnFBCMk4BNvKu,,,,,47.3682,8.5671,anonymous,EN,,,,,,,,,,,,,,,,,Cooking,Restaurant,Delivery,Delivery,Restaurant,Cooking,Delivery,Cooking,24,Female,1000-1500 CHF,Vegetarian,Sometimes (1-4 times a week),Never,Infrequently (a few times a month or less),3,
2023-05-05 00:01:07,2023-05-05 00:04:33,IP Address,188.154.78.93,100,205,True,2023-05-05 00:04:33,R_WwCClV62n6d5cvD,,,,,47.3682,8.5671,anonymous,EN,,,,,,,,,Cooking,Restaurant,Cooking,Delivery,Cooking,Restaurant,Restaurant,Restaurant,,,,,,,,,24,Female,1000-1500 CHF,Vegetarian,Sometimes (1-4 times a week),Never,Usually (5+ times/week on average),2,
2023-05-05 00:13:33,2023-05-05 00:19:10,IP Address,92.88.170.229,100,336,True,2023-05-05 00:19:11,R_8iYwYOcN0vohpiF,,,,,43.6046,1.4451,anonymous,EN,Cooking,Restaurant,Restaurant,Restaurant,Delivery,Delivery,Delivery,Restaurant,,,,,,,,,,,,,,,,,22,Male,< 1000 CHF,Vegetarian,Usually (5+ times/week on average),Infrequently (a few times a month or less),Infrequently (a few times a month or less),1,
2023-05-05 10:59:58,2023-05-05 11:35:43,IP Address,81.221.76.222,100,2144,True,2023-05-05 11:35:43,R_2s5RADqeVj2GJIi,,,,,47.3804,8.5412,anonymous,EN,Cooking,Restaurant,Cooking,Cooking,Cooking,Cooking,Delivery,Restaurant,,,,,,,,,,,,,,,,,28,Female,> 3000 CHF,Vegan,Sometimes (1-4 times a week),Never,Sometimes (1-4 times a week),1,
2023-05-05 15:48:31,2023-05-05 15:54:53,IP Address,192.41.132.244,100,381,True,2023-05-05 15:54:53,R_2YRiMm6oyZ6T9Zg,,,,,47.3804,8.5412,anonymous,EN,Cooking,Restaurant,Restaurant,Restaurant,Cooking,Cooking,Cooking,Restaurant,,,,,,,,,,,,,,,,,22,Male,1500-2000 CHF,,Sometimes (1-4 times a week),Never,Sometimes (1-4 times a week),1,
2023-05-05 16:04:25,2023-05-05 16:06:59,IP Address,213.144.153.155,100,154,True,2023-05-05 16:07:01,R_2uDQPUALnUVkp9q,,,,,47.3804,8.5412,anonymous,EN,,,,,,,,,,,,,,,,,Delivery,Restaurant,Delivery,Delivery,Restaurant,Cooking,Delivery,Cooking,23,Female,1000-1500 CHF,"Vegetarian,Vegan",Sometimes (1-4 times a week),Never,Sometimes (1-4 times a week),3,
2023-05-05 16:08:11,2023-05-05 16:14:37,IP Address,195.176.112.198,100,386,True,2023-05-05 16:14:38,R_1mLsupd7hUsManH,,,,,47.3661,8.5243,anonymous,EN,,,,,,,,,,,,,,,,,Cooking,Cooking,Restaurant,Delivery,Restaurant,Cooking,Delivery,Restaurant,26,Male,1000-1500 CHF,Vegetarian,Usually (5+ times/week on average),Infrequently (a few times a month or less),Sometimes (1-4 times a week),3,
2023-05-05 18:54:31,2023-05-05 18:58:34,IP Address,109.202.223.21,100,242,True,2023-05-05 18:58:35,R_2abh3rlHbMOt1Sa,,,,,47.3512,8.5011,anonymous,EN,,,,,,,,,Cooking,Restaurant,Cooking,Cooking,Cooking,Cooking,Restaurant,Restaurant,,,,,,,,,26,Male,2000-2500 CHF,,Usually (5+ times/week on average),Never,Sometimes (1-4 times a week),2,
2023-05-05 18:54:16,2023-05-05 19:00:22,IP Address,195.176.112.111,100,366,True,2023-05-05 19:00:24,R_T1HVumEwSYA4oZX,,,,,47.3661,8.5243,anonymous,EN,,,,,,,,,,,,,,,,,Cooking,Restaurant,Restaurant,Delivery,Restaurant,Cooking,Delivery,Cooking,21,Male,1000-1500 CHF,,Usually (5+ times/week on average),Never,Infrequently (a few times a month or less),3,
2023-05-05 21:55:22,2023-05-05 21:58:30,IP Address,93.94.243.135,100,188,True,2023-05-05 21:58:31,R_2CHdr9efpmVLSIb,,,,,47.5586,8.4693,anonymous,EN,,,,,,,,,Cooking,Restaurant,Cooking,Delivery,Cooking,Cooking,Restaurant,Restaurant,,,,,,,,,24,Female,2000-2500 CHF,Vegetarian,Usually (5+ times/week on average),Infrequently (a few times a month or less),Infrequently (a few times a month or less),2,
2023-05-06 01:06:57,2023-05-06 01:09:07,IP Address,76.21.64.160,100,129,True,2023-05-06 01:09:07,R_12rnESlqKweZXcB,,,,,37.4446,-122.1835,anonymous,EN,,,,,,,,,Cooking,Restaurant,Cooking,Cooking,Cooking,Cooking,Restaurant,Restaurant,,,,,,,,,25,Male,< 1000 CHF,,Usually (5+ times/week on average),Infrequently (a few times a month or less),Sometimes (1-4 times a week),2,
2023-05-07 10:02:43,2023-05-07 10:06:00,IP Address,81.221.85.207,100,197,True,2023-05-07 10:06:00,R_1LjtRiXMII1ksx3,,,,,47.3604,8.5388,anonymous,EN,Cooking,Delivery,Cooking,Restaurant,Cooking,Delivery,Delivery,Delivery,,,,,,,,,,,,,,,,,23,Male,1500-2000 CHF,Vegetarian,Usually (5+ times/week on average),Infrequently (a few times a month or less),Never,1,
2023-05-07 10:02:57,2023-05-07 10:06:23,IP Address,188.63.28.76,100,205,True,2023-05-07 10:06:23,R_A0wqfqmYgqQsLrr,,,,,47.3804,8.5412,anonymous,EN,,,,,,,,,Cooking,Restaurant,Cooking,Cooking,Cooking,Restaurant,Cooking,Cooking,,,,,,,,,25,Male,1500-2000 CHF,,Sometimes (1-4 times a week),Never,Sometimes (1-4 times a week),2,
2023-05-07 10:03:36,2023-05-07 10:11:35,IP Address,31.10.162.113,100,478,True,2023-05-07 10:11:36,R_yruvBmTT0QZ0kGR,,,,,46.9904,6.9339,anonymous,EN,,,,,,,,,,,,,,,,,Delivery,Cooking,Restaurant,Restaurant,Restaurant,Cooking,Delivery,Cooking,22,Male,1000-1500 CHF,,Usually (5+ times/week on average),Infrequently (a few times a month or less),Infrequently (a few times a month or less),3,
2023-05-07 10:11:20,2023-05-07 10:14:40,IP Address,188.155.65.133,100,200,True,2023-05-07 10:14:41,R_1E7nbbBKVVxjUay,,,,,47.43,8.5718,anonymous,EN,,,,,,,,,Restaurant,Restaurant,Restaurant,Cooking,Cooking,Cooking,Restaurant,Restaurant,,,,,,,,,23,Male,1500-2000 CHF,,Infrequently (a few times a month or less),Infrequently (a few times a month or less),Sometimes (1-4 times a week),2,
2023-05-07 10:12:58,2023-05-07 10:17:18,IP Address,213.55.226.241,100,260,True,2023-05-07 10:17:19,R_tMPxBsRyYCkT0A1,,,,,47.3682,8.5671,anonymous,EN,,,,,,,,,,,,,,,,,Cooking,Cooking,Restaurant,Restaurant,Restaurant,Delivery,Delivery,Cooking,24,Male,< 1000 CHF,,Sometimes (1-4 times a week),Infrequently (a few times a month or less),Sometimes (1-4 times a week),3,
2023-05-07 10:18:28,2023-05-07 10:21:14,IP Address,92.106.12.64,100,165,True,2023-05-07 10:21:14,R_2e2nDzkHsI4UrBj,,,,,47.3823,8.5397,anonymous,EN,,,,,,,,,Cooking,Restaurant,Cooking,Delivery,Cooking,Cooking,Restaurant,Restaurant,,,,,,,,,25,Female,2000-2500 CHF,Low calorie diet,Usually (5+ times/week on average),Never,Sometimes (1-4 times a week),2,
2023-05-07 10:36:59,2023-05-07 10:38:34,IP Address,149.140.219.172,100,94,True,2023-05-07 10:38:34,R_3hrsFUIvhD606Q5,,,,,41.0247,28.9252,anonymous,EN,Cooking,Delivery,Restaurant,Restaurant,Cooking,Cooking,Cooking,Restaurant,,,,,,,,,,,,,,,,,18,Male,< 1000 CHF,,Sometimes (1-4 times a week),Sometimes (1-4 times a week),Infrequently (a few times a month or less),1,
2023-05-07 10:49:08,2023-05-07 10:51:40,IP Address,77.204.145.17,100,151,True,2023-05-07 10:51:40,R_siDuXoOsa5oewp3,,,,,48.8323,2.4075,anonymous,EN,,,,,,,,,,,,,,,,,Cooking,Cooking,Cooking,Cooking,Cooking,Cooking,Cooking,Cooking,21,Female,< 1000 CHF,,Usually (5+ times/week on average),Infrequently (a few times a month or less),Infrequently (a few times a month or less),3,
2023-05-07 10:51:42,2023-05-07 10:53:27,IP Address,31.10.144.17,100,105,True,2023-05-07 10:53:28,R_3nfk2RwzQTtFOOY,,,,,47.3823,8.5397,anonymous,EN,,,,,,,,,Cooking,Cooking,Cooking,Cooking,Cooking,Cooking,Cooking,Cooking,,,,,,,,,23,Male,1500-2000 CHF,,Usually (5+ times/week on average),Never,Sometimes (1-4 times a week),2,
2023-05-07 10:48:52,2023-05-07 10:54:19,IP Address,84.74.58.213,100,326,True,2023-05-07 10:54:19,R_wTVtaZXQzGTU3pT,,,,,47.4663,8.3471,anonymous,EN,Cooking,Delivery,Delivery,Restaurant,Cooking,Cooking,Delivery,Delivery,,,,,,,,,,,,,,,,,23,Male,1500-2000 CHF,,Sometimes (1-4 times a week),Sometimes (1-4 times a week),Sometimes (1-4 times a week),1,
2023-05-07 10:53:16,2023-05-07 10:56:31,IP Address,178.197.223.163,100,194,True,2023-05-07 10:56:31,R_27Ha00NSkYqjqwb,,,,,47.3804,8.5412,anonymous,EN,,,,,,,,,,,,,,,,,Cooking,Restaurant,Restaurant,Cooking,Restaurant,Cooking,Cooking,Restaurant,21,Female,< 1000 CHF,"Vegetarian,Low calorie diet",Usually (5+ times/week on average),Never,Infrequently (a few times a month or less),3,
